last_name,first_name,votes_with_party_pct,votes_against_party_pct,votes_against_party_pct,missed_votes_pct
Alexander,Lamar,97.0,3.0,3.0,4.51
Baldwin,Tammy,95.92,4.08,4.08,0.5
Barrasso,John,97.13,2.87,2.87,0.17
Bennet,Michael,92.31,7.69,7.69,0.83
Blumenthal,Richard,92.5,7.5,7.5,0.5
Blunt,Roy,99.14,0.86,0.86,2.34
Booker,Cory,86.32,13.68,13.68,4.67
Boozman,John,99.15,0.85,0.85,0.67
Brown,Sherrod,95.41,4.59,4.59,0.33
Burr,Richard,98.42,1.58,1.58,4.17
Cantwell,Maria,96.77,3.23,3.23,0.33
Capito,Shelley,97.96,2.04,2.04,1.0
Cardin,Benjamin,96.75,3.25,3.25,0.83
Carper,Thomas,91.27,8.73,8.73,1.0
Casey,Bob,95.76,4.24,4.24,0.17
Cassidy,Bill,97.11,2.89,2.89,1.0
Cochran,Thad,99.71,0.29,0.29,9.54
Collins,Susan,90.4,9.6,9.6,0.0
Coons,Christopher,91.55,8.45,8.45,3.84
Corker,Bob,94.39,5.61,5.61,4.17
Cornyn,John,98.99,1.01,1.01,0.33
Cortez Masto,Catherine,92.41,7.59,7.59,1.67
Cotton,Tom,97.3,2.7,2.7,0.33
Crapo,Michael,96.77,3.23,3.23,0.83
Cruz,Ted,95.91,4.09,4.09,5.34
Daines,Steve,95.61,4.39,4.39,0.33
Donnelly,Joe,79.42,20.58,20.58,1.34
Duckworth,Tammy,93.82,6.18,6.18,12.85
Durbin,Richard,94.43,5.57,5.57,2.5
Enzi,Michael,96.12,3.88,3.88,0.17
Ernst,Joni,97.64,2.36,2.36,0.17
Feinstein,Dianne,93.13,6.87,6.87,6.18
Fischer,Deb,98.31,1.69,1.69,0.67
Flake,Jeff,91.94,8.06,8.06,8.01
Franken,Al,98.71,1.29,1.29,4.0
Gardner,Cory,97.8,2.2,2.2,0.33
Gillibrand,Kirsten,81.29,18.71,18.71,0.33
Graham,Lindsey,96.95,3.05,3.05,6.01
Grassley,Charles,96.8,3.2,3.2,0.0
Harris,Kamala,85.71,14.29,14.29,0.33
Hassan,Margaret,94.56,5.44,5.44,0.5
Hatch,Orrin,97.97,2.03,2.03,0.5
Heinrich,Martin,94.86,5.14,5.14,4.34
Heitkamp,Heidi,78.19,21.82,21.82,2.84
Heller,Dean,94.34,5.66,5.66,4.84
Hirono,Mazie,90.66,9.34,9.34,2.0
Hoeven,John,99.15,0.85,0.85,1.17
Hyde-Smith,Cindy,97.03,2.97,2.97,2.84
Inhofe,James,98.45,1.55,1.55,2.5
Isakson,Johnny,98.3,1.7,1.7,10.85
Johnson,Ron,96.6,3.4,3.4,0.83
Jones,Doug,81.37,18.63,18.63,1.82
Kaine,Tim,94.21,5.79,5.79,0.5
Kennedy,John,95.27,4.73,4.73,0.33
King,Angus,87.12,12.88,12.88,0.0
Klobuchar,Amy,97.1,2.9,2.9,0.5
Kyl,Jon,95.77,4.23,4.23,1.39
Lankford,James,96.11,3.89,3.89,0.33
Leahy,Patrick,95.48,4.52,4.52,2.84
Lee,Mike,84.08,15.92,15.92,1.67
Manchin,Joe,73.85,26.15,26.15,0.83
Markey,Edward,86.54,13.46,13.46,0.5
McCain,John,92.53,7.47,7.47,45.56
McCaskill,Claire,84.99,15.01,15.01,2.84
McConnell,Mitch,98.65,1.35,1.35,0.0
Menendez,Robert,92.91,7.09,7.09,14.02
Merkley,Jeff,85.34,14.66,14.66,1.67
Moran,Jerry,95.6,4.4,4.4,4.34
Murkowski,Lisa,92.88,7.12,7.12,3.01
Murphy,Christopher,95.57,4.43,4.43,0.5
Murray,Patty,96.86,3.14,3.14,2.67
Nelson,Bill,89.31,10.69,10.69,6.34
Paul,Rand,80.28,19.72,19.72,3.51
Perdue,David,97.62,2.39,2.39,1.17
Peters,Gary,92.14,7.86,7.86,0.83
Portman,Rob,98.31,1.69,1.69,0.67
Reed,Jack,94.92,5.08,5.08,0.0
Risch,Jim,95.76,4.24,4.24,0.83
Roberts,Pat,98.47,1.53,1.53,1.17
Rounds,Mike,98.29,1.71,1.71,1.5
Rubio,Marco,97.14,2.86,2.86,5.84
Sanders,Bernard,80.9,19.1,19.1,2.5
Sasse,Ben,94.9,5.1,5.1,1.0
Schatz,Brian,92.39,7.61,7.61,2.0
Schumer,Charles,95.25,4.75,4.75,0.17
Scott,Tim,98.3,1.7,1.7,0.83
Sessions,Jeff,90.48,9.52,9.52,65.0
Shaheen,Jeanne,93.01,6.99,6.99,3.01
Shelby,Richard,97.79,2.21,2.21,0.83
Smith,Tina,98.13,1.87,1.87,0.0
Stabenow,Debbie,92.48,7.52,7.52,0.83
Strange,Luther,97.25,2.75,2.75,3.4
Sullivan,Dan,97.74,2.26,2.26,3.34
Tester,Jon,88.53,11.47,11.47,1.0
Thune,John,99.33,0.67,0.67,0.0
Tillis,Thom,99.11,0.89,0.89,5.51
Toomey,Patrick,94.0,6.0,6.0,4.67
Udall,Tom,94.01,5.99,5.99,1.0
Van Hollen,Chris,96.08,3.92,3.92,0.67
Warner,Mark,89.33,10.67,10.67,1.5
Warren,Elizabeth,83.22,16.78,16.78,0.0
Whitehouse,Sheldon,95.56,4.44,4.44,0.67
Wicker,Roger,98.48,1.52,1.52,0.33
Wyden,Ron,88.61,11.39,11.39,0.33
Young,Todd,97.8,2.2,2.2,0.67
